b3: {b3, bfdbe5f2021576848de3580bef13d6be}
androidx/room: {androidx/room, 069cdb710880d9bf5d0584e1f0bc49a5}
w2: {w2, 8bbcc0d056b4050a071376b02979a57b}
q2: {q2, 3653c95202b882b87005e2dac7538231}
e4: {e4, efceb0c2d1328d19dd082f232bf01e9d}
o2: {o2, 31d86f58ecaba0bda9d13888d59c120c}
i2: {i2, 4dbf9783b176b8bdca493b2799d70abb}
androidx/lifecycle: {androidx/lifecycle, 9f1e81c99df958c965d8a2f753f99ce9}
c3: {c3, a84d78332e94a9c93c5b1038d0f8ed36}
a4: {a4, 06b655c46a4ecc08c636912554dae391}
t: {t, b0720fce229f94de988a8e8dbf6ff9ba}
v: {v, b49729014097c3ae97afa9aa87aadb18}
androidx/media: {androidx/media, a5a966f000572036931f025d5fcd05d3}
j3: {j3, 7a361af8a2eecd9a56566927c9bbdcd5}
m4: {m4, d27d14ad9cd14070ccbaf7c09ae639ba}
androidx/versionedparcelable: {androidx/versionedparcelable, 9d566c8bb72bf85d0f4cf8e4e857ebc9}
s: {s, ee4c704167b42a5cf6de58e760cbe398}
d: {d, 17e79ffba7844586f64ccdff8be6b717}
n2: {n2, 2a16d32a0b8518418252e99c3cc83586}
k3: {k3, c806d1ab00819bdf4172c248a28ce73c}
l: {l, 16dfe34a815d776010cd739573519d12}
f2: {f2, 1b63e964135872732f29841fbb90bc69}
v0: {v0, a9f088c968250b713607e479aff6dee0}
d2: {d2, 44aca2dbc86aba0e25b5dae224996df1}
q1: {q1, 8b7c638e3a11e3899c9c4f980301b88d}
x1: {x1, 1e679a949d21d0bb32d1e6c82971a42e}
g3: {g3, af238e6fc08f681d082564b9fe900d45}
b0: {b0, 54eb79248b55347bc22c6cc35287c797}
m2: {m2, 8012625b9ffad4768d99f38887e20467}
androidx/emoji2/text: {androidx/emoji2/text, 908f923178b61f9782f8f267f788bb30}
c2: {c2, 67387e8167c705f2379bd95a9f8ae39b}
a3: {a3, 7253690d4f93b04abbfea47d34e3c8b0}
androidx/core/app: {androidx/core/app, 69ac4434146c17cde85076e6f03fb5bb}
androidx/fragment/app: {androidx/fragment/app, e7bbfaa785d103184e14f2190fb6ad3f}
j0: {j0, 571ad07f59fce555075f4864d2d7eb20}
l3: {l3, fae1945fdaad563510351e811b295c47}
n3: {n3, 2a744b65391002c7355f35423477bc5c}
u1: {u1, bf12654dc8db2f0d98d2ee142a6b0808}
e: {e, f868f328e3c4c83ba75e4d63609f0a8b}
d3: {d3, 83c3081075be8896cb73b053fef58f31}
q: {q, 99c4cc55ee5a5b416d9faa57158d7173}
f3: {f3, 69a2deba0d5fce5e1c5d2d736e2d2bbc}
k2: {k2, dfb6a4c8408a916efc6ddce8414433d9}
m: {m, d61a500f22327614566ac32c612f2bf0}
e3: {e3, ffd665b8d42260b6ce65046b53ca9d74}
v1: {v1, fea312be0b66fcc3b349ff811318ad42}
b1: {b1, 3c8a0443979857b4d6cbf67eeb8516c0}
q0: {q0, 6561d34ea447076ca92c94c383722a82}
f0: {f0, 1086267298bb02479598ffe32b51e571}
androidx/profileinstaller: {androidx/profileinstaller, b00de96bff4323618824d9511de9986b}
z2: {z2, b1e11e549840a44863e08f31414f0117}
androidx/appcompat/widget: {androidx/appcompat/widget, a3c8122a463eb76f51229c85d0dc4e6c}
m1: {m1, f2448fe51eaa6b1d83fe6d17ff70b147}
b4: {b4, 6c698b1bbe2492a5165c1ca4dc9cdd85}
x2: {x2, 71e3592492a3faa84d9354b88a5de62c}
g2: {g2, 03ee85a46819332703d22f1b66001c80}
a2: {a2, fb78a8b14b73272d51826df6d389a788}
n0: {n0, b85cc7924dd4fd461d83a92ea790a557}
u0: {u0, 13aa763afcce8e0eed9a8f4897db046a}
i1: {i1, d1a5ca1b956b8daa3b63269c9e1762bb}
f: {f, 55e8d18ce92f6cc20c494c46d1e094d2}
l4: {l4, 048584ecce159ddacd37932b11156a1b}
n: {n, 805f2205543b62a59b95c1e108cfe360}
d4: {d4, 18370c12c4608ee4fe6b64d5a6a755f7}
e2: {e2, cb1e3882783a89f4db8e3def485694f0}
j1: {j1, f8d9bb5c1857e49e54f953134258246d}
y3: {y3, 5d7472acbcd8f643da834647c4c241fe}
c4: {c4, 2d8507dee00185e4639c2ce2cdb23183}
s1: {s1, 05395612fb5d263caeda5277668c049e}
o: {o, fe23f5053d098849c6f64b17307ef18f}
f1: {f1, ab721c149cac68a2dbadda744b511e38}
z3: {z3, b0c6952c2510721e96d86569fb158d6a}
a1: {a1, 76222661ebf5fe3a2ff6418e5f1436e1}
w: {w, 03562af3ced71a1361ca6f7f21d6f84b}
x3: {x3, 88abbd20353338c43a43add9f96661ac}
k4: {k4, 421291a870e0fe3c9d154ddd8972606c}
y: {y, 56953334f11a771e24ce11b60c397d50}
g: {g, 57e6f7503005a2db66b7426d8cde20c5}
n1: {n1, a02960b23834660a150156e88a0c11a5}
i0: {i0, 1d6ea481d5a43903eb36030730b8d166}
s0: {s0, 5ce3358b6acbccaae7bd8c9a1af10dcf}
r2: {r2, ffe9d27169fc3621a23dc4846b2a12ef}
androidx/appcompat/app: {androidx/appcompat/app, 3f3ab22244848a0c2a85497200846a4a}
y2: {y2, 753a24778bcc4c1cd14800ad6c5b3d0b}
h: {h, ab58ef060835cf7f78fd6bc1d6164845}
s3: {s3, ee835fcd632e0f15c2aee9aaa5921a86}
p0: {p0, ee175cc4e037790aaedc6081063edccd}
p: {p, 978f15c0365dff23c3e2132b3dfe9ee1}
z0: {z0, 244546de925fd7e1ca68b6386bf25a44}
a0: {a0, f126c71dc6f1f5a3f3f2923e056b17a1}
h0: {h0, 0a64b10593e27dd94e4f9248c442a2e8}
g4: {g4, f0a1b76534c07653a764b294f96a936e}
androidx/coordinatorlayout/widget: {androidx/coordinatorlayout/widget, d001098086548f9548fb00d21e318620}
com/ae/apps: {com/ae/apps, 97877f89574a703926dca788f766517b}
m0: {m0, 6bb38025a4643f842d8d30dd3f586e37}
t0: {t0, 9682452d74d9005c69de90f28e8f1816}
e0: {e0, 0d67168da4df727ebd748fa213c53201}
r3: {r3, c99361a0cfc4b8a53f6695674445ad87}
i: {i, 707080b1880e1721daacc7ced4932999}
p1: {p1, 7ed7c54c7ee2fd667a8e2f50ecf45974}
s2: {s2, 2aab48eced31c0c1fccd5e9d55bfb156}
l0: {l0, c96c20ec48a5abf016a7f811dcf73b9c}
h1: {h1, e5b2c0c632446d621bf6f18344533461}
y1: {y1, a07179ef7d6a45b14c64f61150fc6571}
o1: {o1, addd1b594a18b9507e7ff65442f74518}
eu/dkaratzas/android: {eu/dkaratzas/android, 26641be58837f14e72cda3923dd7ac1e}
kotlinx/coroutines/internal: {[kotlinx/coroutines/internal, kotlinx/coroutines/scheduling, ], 339e8e1dd1da5b6943e89099f764c6f1}
a: {a, 1d5c7042f57bdd74fcf66760e067e771}
t1: {t1, 8701b113f1c57e870df5898c82e2a1b0}
j4: {j4, 4fad58968d50230f67df2ee2dbf54a22}
w1: {w1, b3fac32e499290ae118d345f13cafa8a}
androidx/recyclerview/widget: {androidx/recyclerview/widget, 451c1eee98774edcf76f31f4b4c23a36}
x: {x, 97b5944ea57021af362bb4b336eb8339}
r0: {r0, 8e0f6f73101475bc0e0a404db22cb764}
