y3: {y3, 1e0f68514da8a2102f0a32b0c555fd9b}
c4: {c4, 28439b0c2fb629e261a7b6aa400077cd}
androidx/core/view: {androidx/core/view, 325ea15911218e1f03c933774f41fc86}
s1: {s1, bdb0c94822ccadf4ce7652af34481a57}
androidx/core/app: {androidx/core/app, 8ff05967d7a48f44fc7dd27309f1b1cf}
f1: {f1, b2ab88c613b18c3b3deaf19d4c7197dd}
z3: {z3, 7103663ae29e14aaeaadfade7a5d7950}
a1: {a1, e8aac5866d4478a72f234cc5ef8efa05}
w: {w, 27bc183540ca69f423cd46975546e7cd}
kotlin/properties: {kotlin/properties, 7f6e3a3ca9d3768b11145eb2a1787199}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, 25e1f11e4097d06d7efb8d879afc6db8}
javax/xml/stream: {javax/xml/stream, 542dd9699021b2a489ba6c7d8f6e4a23}
x3: {x3, bf61c908898c386b5be2e0bfe9c494dc}
g5: {g5, 93e7d00de0f5f7ad8007336b5f6ef01e}
k4: {k4, 5d3fe6917e617b31d76224f59b9da5e8}
y: {y, 62298bcc51165f675c41bf0803f4cd30}
androidx/coordinatorlayout/widget: {androidx/coordinatorlayout/widget, 8666d92671bc4e9f7ee43bd891446abd}
g: {g, 8be6651cdee9fb34ab23eaa6be730567}
n1: {n1, 38ac65742b0a5c0e667a3d8439980545}
androidx/core/util: {androidx/core/util, 7c16e89370a21faf8cc8ce3ed37b07bd}
l5: {l5, 6cb21fca6da761b2563c64207802420e}
i0: {i0, 67cac4d828ea10ad583df9225e4fe211}
org/threeten/bp: {org/threeten/bp, 35577418a4e3d21edf519a5ace761e5b}
androidx/appcompat/app: {androidx/appcompat/app, 215ef5488a884ce090c63f7f8c07e994}
s0: {s0, 095627dd67ade942d7cbaccc7e11c06a}
u4: {u4, fcfce6b46f15eb1690939b3db0e198b6}
androidx/concurrent/futures: {androidx/concurrent/futures, dd6f7c97b64e893dfcc676fca46f96c5}
r2: {r2, 90a5eb02183976b5aca61ed6cbf3138b}
e1: {e1, 43e199255dd99789b20a6d69fa631d1a}
androidx/core/os: {androidx/core/os, ce64b2da2cc99fa94f124dd09f62dc32}
j6: {j6, b9a35ff5d9a22ab0942c6dff586f7be3}
kotlin/collections: {kotlin/collections, 3340e6613d14a620fc0a38e575301691}
y2: {y2, 711d7261bd01bca59a7c7217f5478aa8}
a0: {a0, afeb7c4845dbd4eeb17f1381df1b264b}
okhttp3/internal/publicsuffix: {okhttp3/internal/publicsuffix, 14e3d17ed0f24541a3f60fe3559a9683}
h: {h, 66857c90e71f018d24bd09f9a08be0f1}
d6: {d6, e9f35363d4480dda1beea339dba0c17b}
x4: {x4, 7c47c633bef36bbe8493d495b05cdcd4}
kotlin/contracts: {kotlin/contracts, 7369dc3b71cbba0f784145362dbe0876}
p0: {p0, b997b32071a7578b85aab8423525f39c}
p: {p, 4f08195d1875b5423566e3b156aafee9}
androidx/emoji2/text: {androidx/emoji2/text, 47b84ce854b6b1ffcffabc88cbd64e4d}
androidx/core/provider: {androidx/core/provider, a0179be6436ccdd288b9ab3831859236}
z0: {z0, fd8603e6c9832107556708e05098d434}
kotlin: {kotlin, 920d401ee6f5ee88877db74f15bec090}
h0: {h0, 0ca4f6b4de32777ad6e2679329e17ed8}
i6: {i6, d64299c4d9b5fcd4b42dfe92fcb5133c}
g4: {g4, cf52b482a4601c94acfbaa6037e1c4e6}
androidx/core/content: {androidx/core/content, 7c03a18e3594b5be21ccc13f1c361a82}
s5: {s5, f5a97a16e2abb6103dfcb8acc0b32b0f}
kotlin/concurrent: {kotlin/concurrent, 43a76881056853bb7770f71cffc63d37}
okhttp3/internal/connection: {okhttp3/internal/connection, 390e0ee959fc19e36d61c6d752e6befa}
m0: {m0, e2392114448703e45c65d4039ae704b8}
b6: {b6, e50c956e6b8e6d1b8bdc9d30bafb18c8}
v4: {v4, dcdec806450aab61db11236ad1433f84}
com/robinhood/ticker: {com/robinhood/ticker, 7c9ccc9bc04b0c32032922df3f271976}
kotlin/coroutines: {kotlin/coroutines, 90e87deda542cab2cb2f12f8c4e5051f}
e0: {e0, 0aa1fae1a5f19c98190aad16078bbe02}
kotlin/comparisons: {kotlin/comparisons, 7fcd4d1b059f9ba5afa0a6bbe12dceae}
okhttp3/internal/http2: {okhttp3/internal/http2, ff60ea0c25b43126240a0a02bed0cb69}
r3: {r3, f7c41b9c60aa0848083613b97ed17b8f}
androidx/viewpager2/widget: {androidx/viewpager2/widget, b60a591ccb7d6841646cd70ec456d056}
f6: {f6, f1a4e1944ad4b9e6c4f00fbd69c622eb}
kotlin/reflect: {kotlin/reflect, 8cf0bb37213a2954bc9f637b33f83eac}
c6: {c6, 09f03b69bd1a0d4048efa90747d7c9cc}
l6: {l6, 93ff435ebf3f682f913e940375b7ea20}
x5: {x5, 5979e30082cdfeaa5f0ea823c0a34ecc}
d5: {d5, bd48502004da8dfb6cd0328ba1ab40f2}
i: {i, 0f569bcb34b1444f0842bbbb36fd7d90}
p1: {p1, 9f6557048486b3a195ce0a2dccf63a21}
s2: {s2, bf31e1dcb0949a1bd6f5813b7415cdda}
androidx/work: {androidx/work, 67f8b6b681658d15adbbd0bad8ed6a9d}
com/wutka/dtd: {com/wutka/dtd, fbdfcd8916d289e2438d1b9d11bd6516}
kotlin/time: {kotlin/time, a08bcdec107ab754659644ea242d480b}
q: {q, 0752bcd10ad9f42401bf75c876b7eb11}
h1: {h1, cdcd1d93dc1cf87a952f9577250529e5}
n4: {n4, 4d206a04e6a0fed69fd63bf511981a65}
y1: {y1, 087a1e3c55d09e8c6865b25bb6f73dfc}
o1: {o1, 4d2bb5b04e7d72b91e7ff9534b793002}
i5: {i5, c7f6d986537e73a1fd3706503bf1c8a2}
org/jsoup: {org/jsoup, 6085f5adcc29c47d827fcf632218f196}
v5: {v5, eed607c4b5db1fcd268e4efaa2030c8c}
a: {a, 94c5926c0ecffaf63dacd24b2fcc6bd1}
kotlin/streams/jdk8: {kotlin/streams/jdk8, 8934fa0a50c86efeadf262c38d0b5cb2}
t1: {t1, 6b38a98455e98c482c5dd2e91f789711}
androidx/versionedparcelable: {androidx/versionedparcelable, 51eb17dd26b6c5ae1ee44d8d3a49ac75}
kotlin/ranges: {kotlin/ranges, 6e0c5a79a18a40822003edc177512a2d}
j4: {j4, 828f01b6858c293abc10e992971c1202}
w1: {w1, 1161b762ce3b8f684317fa39b52c7362}
kotlin/internal: {kotlin/internal, bb1b710962c57e32d3f7ad3628f76799}
q5: {q5, 3247c7440eaf439a5acce0e169384f42}
androidx/recyclerview/widget: {androidx/recyclerview/widget, c28ab0de4331c36d2e1b736da1862a84}
x: {x, 2afd2b9d0b9bb6f0cebf3ec72aa93f54}
u5: {u5, af0290c39aee2b03aa23dd7dc02355be}
k6: {k6, 644e050a0fd6059419da4ad81655e81d}
r0: {r0, e941f79fb881d9b7dd28c7c495662bd0}
