com/arthenica/smartexception: {com/arthenica/smartexception, e35743ff45b2020a977d72091b97e747}
androidx/startup: {androidx/startup, 7009b9a3e196495fb10df714420a2d29}
androidx/databinding: {androidx/databinding, 22cb04227c0d23b23c8da679ce85533b}
androidx/loader/app: {androidx/loader/app, c56b8f1cc02da4176506feae8087c28c}
androidx/media2/common: {androidx/media2/common, 2a3a46dced0e02d1005e457d637386de}
androidx/media2/player: {androidx/media2/player, 1808ae25e35396a925894718df53df2c}
androidx/room: {androidx/room, 0f443637d08c4930132f36d8bc2a7f51}
dagger/hilt/internal: {dagger/hilt/internal, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/sqlite/db: {androidx/sqlite/db, 6b2ac3b2f615ee62d45147062c41ce37}
androidx/lifecycle: {androidx/lifecycle, 59c068f7b47f643c5530e5dfeaa2b3f3}
kotlin/enums: {kotlin/enums, 9fbaf8e25cc6e5ef5ef1da07cd98fcba}
androidx/navigation: {androidx/navigation, bbecc3daf3ec3d2153c4607637c74d50}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, d7ed1bb658959fc2372d579ac52412ce}
kotlin/reflect: {kotlin/reflect, acf7ef943fdeb3cbfed8dd0d8f584731}
kotlin/text: {kotlin/text, 6cec7d7750229bd53dff801e6645d6f3}
android/graphics: {android/graphics, e079f4fb8febf5b63effbb6583d13a90}
androidx/viewbinding: {androidx/viewbinding, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/versionedparcelable: {androidx/versionedparcelable, 04a569097b3a6a00e3d3f5160dceb5e3}
okhttp3: {okhttp3, 165ed9e4e4964e5828f97b50bea830fe}
android/view: {android/view, e079f4fb8febf5b63effbb6583d13a90}
androidx/core: {androidx/core, a3ac110d5a647e530b28b0e5b29cd735}
androidx/collection: {androidx/collection, 6fafe4b58a9342255cad5f7e4c6ddbfb}
androidx/transition: {androidx/transition, 0fd5346979a99bd1c08a377584abf9a2}
androidx/media2/exoplayer: {androidx/media2/exoplayer, 7d9cee0048f65dff88263513559af067}
androidx/media: {androidx/media, 867aebe0cde78c9cc78ced11552a8e40}
androidx/browser/customtabs: {androidx/browser/customtabs, ed72857d06b77cab414df997d3247239}
at/connyduck/sparkbutton: {at/connyduck/sparkbutton, 6d2056771fdb7f228b636094f9195789}
kotlin/jvm/functions: {kotlin/jvm/functions, 3c12fc6b8f55fab0318e6b22ba73f244}
android/app: {android/app, de1c2b92945417ecd988923d07abfa41}
org/pixeldroid: {org/pixeldroid, 7f8b28e5aaf1144721126f38e4921a4e}
androidx/viewpager2: {androidx/viewpager2, 8a81a7f2b6c1c9007aea0df52b92d65c}
androidx/customview/view: {androidx/customview/view, 5505cdc33535ba4e6119c0d1508be62d}
androidx/recyclerview: {androidx/recyclerview, b18f1104b6df9fc3ba9cafea83398d27}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, a4861820f522a6850a6c3bac16ce2879}
androidx/gridlayout: {androidx/gridlayout, b3ab7f154dd206bfa6294f3a436bb486}
com/yalantis/ucrop: {com/yalantis/ucrop, a99166d3342d4234ec3a6cc1049a3803}
kotlin/io: {kotlin/io, 2ad3228e795035628a80581ca88eaca4}
androidx/profileinstaller: {androidx/profileinstaller, d1972653ca71c2c37066f57f114926a5}
retrofit2/adapter/rxjava3: {retrofit2/adapter/rxjava3, 4f52123e7a69b0ed57e7a00754ed6fd3}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 45271974cf417bd3a32039fc33c84918}
androidx/sqlite/util: {androidx/sqlite/util, 6a428e67ac26f2ceb430643c622f56d1}
dagger/internal: {dagger/internal, d0482000b04a8f55cf7547aa3507ace2}
retrofit2/converter/gson: {retrofit2/converter/gson, d82b5b3f7b47377d14c9c58a98c750a3}
androidx/drawerlayout: {androidx/drawerlayout, a34c4962d2699855978c81ab8188cdc7}
org/ligi/tracedroid: {org/ligi/tracedroid, ca2be5f0cddd9ce7e23f534d60b545d5}
com/jarsilio/android: {com/jarsilio/android, b073765c7cc33616f20013c36b0a444d}
androidx/customview/poolingcontainer: {androidx/customview/poolingcontainer, dfeb8c23a20731e9fbcfbf28b235fe78}
androidx/arch/core: {androidx/arch/core, 48823f6deb9e83b3e1bc279e6e33fbdb}
kotlin/properties: {kotlin/properties, 7d439e8533eda22991e41b1d31f1cb9c}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, 07077e84efc26daafd08371693cfe256}
okhttp3/internal: {okhttp3/internal, e7def54fd760782951e495e34c0bcbef}
com/mikepenz/materialdrawer: {[com/mikepenz/materialdrawer, com/mikepenz/iconics, com/mikepenz/fastadapter, ], fafa0b393d5f17504954581c4a266abb}
okio/internal: {okio/internal, a270188281dc92977342ab5fb47607bb}
androidx/concurrent/futures: {androidx/concurrent/futures, 8b98da22e2b76fa6e9114681d14c288f}
retrofit2: {retrofit2, a2f793a5942266d9bc03a99ae8b66015}
kotlin/collections: {kotlin/collections, e31b8384be3050c8b7ec53b8c5ce74e0}
androidx/fragment: {androidx/fragment, f3f0d0e49fcfd64edf010496739b2a6c}
androidx/customview/widget: {androidx/customview/widget, 3e3c82c9323d77a01d3db0be59d90ab4}
me/relex/circleindicator: {me/relex/circleindicator, 480ed16ff841ad259803c7ee32170a55}
kotlin: {kotlin, 815275140823c85b75609559f106ac90}
com/davemorrissey/labs: {com/davemorrissey/labs, ed60d114ba8d3be04ccbbc96935df9c4}
com/mikepenz/aboutlibraries: {com/mikepenz/aboutlibraries, 8bda9ff3fff06c61650935d7d6572519}
kotlin/coroutines: {kotlin/coroutines, da503bc0f2288e32a93f95371cec628f}
kotlin/comparisons: {kotlin/comparisons, 1a49bb4a8129eda07d75c94864a721c9}
androidx/interpolator/view: {androidx/interpolator/view, 5ecd05c851231d6c149245d383f9310e}
androidx/paging: {androidx/paging, be926674ed466b7799310f99273bf650}
