junit/runner: {junit/runner, eb8daaa83ed08e189cb5a3a0f535e5b7}
com/google/crypto: {com/google/crypto, e6548b157c20276653af955e403532e1}
com/iiordanov/pubkeygenerator: {com/iiordanov/pubkeygenerator, 82144bc064c43fe0ba944ec8a6724aec}
androidx/concurrent/futures: {androidx/concurrent/futures, 86f4f0c6137e4409fb164ff53b673625}
kotlin/collections: {kotlin/collections, 169a439bafe16bffddde5059c76b6c75}
androidx/fragment: {androidx/fragment, 64e4114d96f3282e6930fdfd83164d8c}
com/iiordanov/android: {[com/iiordanov/android, com/iiordanov/util, ], f4bfefe5cd7cc4785f1fea56ccee59ed}
kotlin/contracts: {kotlin/contracts, 9c8bef231f249be25df528c988e85561}
com/undatech/opaque: {com/undatech/opaque, 8fe422b198ea06547f380c063353f775}
kotlin: {kotlin, b73406290404819ae59dc717146af565}
org/junit: {org/junit, 711acc639e08ebe80c7db874eedd061c}
kotlin/coroutines: {kotlin/coroutines, d1df390c8a4f09bc5f96076b7cbe3e61}
kotlin/concurrent: {kotlin/concurrent, 609d0ba14373122c18d5182f18c0c69a}
net/sourceforge/jsocks: {net/sourceforge/jsocks, 10b5a95b9def91e0c08ca89d8c9f773a}
kotlin/comparisons: {kotlin/comparisons, 609388fdfa025ed347ea807f4d48ac83}
com/ksmaze/android: {com/ksmaze/android, eec502a7f320d4ebf50f6fc4da7699e0}
androidx/legacy/coreutils: {androidx/legacy/coreutils, da1c5c0e9e4d4de1ee6852a39fa1fee1}
net/vrallev/java: {net/vrallev/java, 9face35ada4aa3ffa10a094493bbb982}
com/google/firebase: {com/google/firebase, 897842b23e34b7f786ee50b7734e39ea}
androidx/legacy/app: {androidx/legacy/app, 0aed9f62c3f6b5beb17695c0ac064558}
com/iiordanov/tigervnc: {com/iiordanov/tigervnc, 689c63aaa9ee5cd8063083879e712833}
kotlin/time: {kotlin/time, db031e4a8d00bba5093887a4d9d7ec58}
androidx/print: {androidx/print, 97082f343ee7d573eccc4e015e6f55a9}
com/iiordanov/jcraft: {com/iiordanov/jcraft, 2701f795bd0148aadee27586170d6b0d}
androidx/legacy/v4: {androidx/legacy/v4, e97521e81a9f1d37da0597160bf5ab00}
kotlin/ranges: {kotlin/ranges, f6fb6a6396a25deb2d68fd36dd203505}
androidx/tracing: {androidx/tracing, 27fbbf7090d2e7afb6da7c9cdfdb966d}
androidx/customview: {androidx/customview, 5ca4790920e04609fb16bb0caf014011}
com/freerdp/freerdpcore: {com/freerdp/freerdpcore, 76604df43b29fb8be6e80349e8dff1eb}
