kotlin/internal: {kotlin/internal, e7b34893d98ec069395754d82fbcd75e}
kotlinx/serialization: {kotlinx/serialization, 30548028b4665b4c969b7b1781229a96}
android/widget/inline: {android/widget/inline, c4e9eeb25e17c46354752ac4239a9772}
org/fcitx/fcitx5: {org/fcitx/fcitx5, a802860b2de305a15cbf2d193d7835e1}
splitties/resources: {splitties/resources, 87683de1fd0be173867162b9999438d8}
com/canhub/cropper: {com/canhub/cropper, de0ef3fad476740dedefe54fd8a27470}
kotlin/jvm/internal: {kotlin/jvm/internal, 66e3256814eb38001b477d28cdb7c181}
androidx/autofill/inline: {androidx/autofill/inline, 2bdb35fa3f5e413ffccdb746f1be6415}
androidx/paging: {androidx/paging, 4acf4627a1edd23b6bc880f04acc173c}
androidx/emoji2/viewsintegration: {androidx/emoji2/viewsintegration, 2aebd8daf9a16bf6d5f31756a51f7aed}
android/app: {android/app, c4e9eeb25e17c46354752ac4239a9772}
androidx/arch/core: {androidx/arch/core, b28d9b2a7783de7bb095c229c829b0bf}
androidx/emoji2/text: {androidx/emoji2/text, b520c283de1ade24c3b0f50ab0279531}
kotlin/time: {kotlin/time, 8df319c973d8ec22b689abf796cc249a}
kotlin/properties: {kotlin/properties, e5786e9e156a903e5784e0b96440c269}
splitties/mainthread: {splitties/mainthread, e655fcabf39b7f945f133a3be46938c4}
kotlin/ranges: {kotlin/ranges, c4fe597c6569a56f8bb54e2072da2208}
androidx/viewpager2: {androidx/viewpager2, d94a536fc9f4cd4f6ff84f56d190a2de}
androidx/savedstate: {androidx/savedstate, b8463e0fac6d5c01f54d1964c51a75ae}
androidx/customview/view: {androidx/customview/view, d6f75e8041c2e0d7ea59bc3abe2a4eb1}
arrow/core: {arrow/core, 3e53dea275af7584cf540c7a6ad131bc}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 87fb8374ccaefb4debd871c357488a61}
kotlinx/coroutines: {kotlinx/coroutines, 7171b89b64c1a2bf98969844364eac34}
androidx/tracing: {androidx/tracing, 537b860d7c5a764ce77fe920e83f16e3}
androidx/startup: {androidx/startup, 0169fa226b0c04fcdb85c0bd939d8e75}
splitties/views: {splitties/views, dab68af2bef9fa564b5349cf9cd94b9c}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 1217792c6d80423570ef3787bf20efd6}
androidx/recyclerview: {androidx/recyclerview, dbe50d398a5345b86129f63943c70552}
androidx/loader/app: {androidx/loader/app, 118f78e0443e2f23ec63a82bddead60b}
org/mechdancer/dependency: {org/mechdancer/dependency, ce93b5e65821e9650267599e1fc92fb5}
androidx/customview/poolingcontainer: {androidx/customview/poolingcontainer, dfeb8c23a20731e9fbcfbf28b235fe78}
