androidx/arch/core: {androidx/arch/core, 4aedd1b836e501b0e82521ff6824fb7f}
kotlin/properties: {kotlin/properties, fad51e28e802ed85818896060e4bded4}
okhttp3/internal: {okhttp3/internal, 4d82bffb03ab8ec23055497004d00c7b}
kotlin/system: {kotlin/system, 1611ffd7b3fe1a7d724238ba58f76ecb}
androidx/legacy/content: {androidx/legacy/content, 6f17542208ee49d01c4f55a89a691e19}
androidx/concurrent/futures: {androidx/concurrent/futures, b8ab4802e397a9a7bc5f28a1ae6b4402}
retrofit2: {retrofit2, ec28b211ee7722ed3ab439c0fb3e4191}
kotlin/collections: {kotlin/collections, 882b9aafcac487c7d3552663a71e7008}
androidx/fragment: {androidx/fragment, 398bf31ff8d9dc635ce28d9b7435be4d}
kotlin/contracts: {kotlin/contracts, 713173a8325aa1bfa39464429d6f3e25}
kotlin: {kotlin, fa756a77dcc5304384d1e4863a31c5d9}
kotlin/coroutines: {kotlin/coroutines, d653ac224da045faa9a462a5c6cc6d66}
kotlin/concurrent: {kotlin/concurrent, 609d0ba14373122c18d5182f18c0c69a}
com/manimaran/crash_reporter: {com/manimaran/crash_reporter, 0140931c20688f6da8dbead8239861fe}
kotlin/comparisons: {kotlin/comparisons, 609388fdfa025ed347ea807f4d48ac83}
androidx/legacy/coreutils: {androidx/legacy/coreutils, da1c5c0e9e4d4de1ee6852a39fa1fee1}
okio: {okio, feb7685664fb464ab20d30958c475fc0}
kotlin/text: {kotlin/text, 863497df6f82e35a4782fafea25e1458}
kotlin/time: {kotlin/time, fee85ffd2ef050373ae6428a856dd236}
retrofit2/converter/gson: {retrofit2/converter/gson, 28c4b6cc08a03802d23f564c7f4c6fdb}
androidx/print: {androidx/print, 60bf5c11bd96ef5e4ddd65374fd1cb0c}
com/bumptech/glide: {com/bumptech/glide, 3c2b97986e8ca28531a5853b5adf738b}
kotlin/ranges: {kotlin/ranges, 86c83a6266beb6e6d32390f4694f23cc}
androidx/tracing: {androidx/tracing, 1691b9585cc135c6595781ab31216573}
kotlinx/android/parcel: {kotlinx/android/parcel, 68a4aec0ffe8e9cc9b5e8e7f7097caed}
com/google/gson: {com/google/gson, 2c703ada23bf207c89b589dab4468f9b}
androidx/customview: {androidx/customview, c981a8a57acf8fdf7e60f63a5e7504d9}
org/intellij/lang: {org/intellij/lang, 2dec1adfa53189f66a49f5ff580f2804}
