androidx/legacy/app: {androidx/legacy/app, 84e1e008e5713b1885c4d264f50931ce}
androidx/viewbinding: {androidx/viewbinding, 320e4a218483379fe56d033b368fe113}
androidx/versionedparcelable: {androidx/versionedparcelable, e5d1c5ab6e842a66a6ba87a379c6548e}
com/onurkaganaldemir/ktoastlib: {com/onurkaganaldemir/ktoastlib, ed8854cfbf13fbcb21f4a654bbc98896}
com/csvreader: {com/csvreader, 9763cfa21a263b58446599bbb83431cc}
androidx/collection: {androidx/collection, 6bd694c783b18dcbed294dfe54c28b3f}
androidx/transition: {androidx/transition, b4a2d7396a7b8fcb00f872a67872d105}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, cb88db17463f6bd25608b89b0f3849ed}
androidx/cursoradapter: {androidx/cursoradapter, f94378f87942d596e8c1a9057b8e84e0}
androidx/legacy/widget: {androidx/legacy/widget, 82049910e9994fb88dab5c38292b7abd}
androidx/media: {androidx/media, 109577eeda190ffae6fc5c5b6f1437e0}
com/ogaclejapan/smarttablayout: {com/ogaclejapan/smarttablayout, 756c919ad3a0d53daa9da61b1178c69c}
com/google/android: {com/google/android, 2e87a8995b8a16ecac622d3d747c86de}
com/github/lzyzsd: {com/github/lzyzsd, 50112d1d7038db3c62780f6cfb35b108}
kotlin/jdk7: {kotlin/jdk7, 1f3424d22bf7081b247818c1fb2eebaf}
de/psdev/licensesdialog: {de/psdev/licensesdialog, a4847909641a2430e44598f405ca88e8}
androidx/viewpager2: {androidx/viewpager2, 08290db6c121afe695df1dc87789cf58}
androidx/documentfile: {androidx/documentfile, 32568abfd09a23174463f1a7e324dc33}
com/mikhaellopez/circularimageview: {com/mikhaellopez/circularimageview, 5c6b03e02600818646f420da8b2d2396}
androidx/recyclerview: {androidx/recyclerview, 85b9493595ead82fefef12b849be195c}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 0035c1d60f4698eeb153147976a2a54f}
com/github/ivbaranov: {com/github/ivbaranov, b731705d267aa117e3bd9739fcb0444f}
androidx/dynamicanimation: {androidx/dynamicanimation, c528bc99888af18a77078acb9abc9aa0}
kotlin/jvm: {kotlin/jvm, 468995a29d67d6568fdb1065e00a610d}
kotlin/io: {kotlin/io, 3d36c034bed9279e10c0c053b4d074db}
com/google/errorprone: {com/google/errorprone, 490aec19a7c612fd9bfafffb9dacde26}
androidx/loader: {androidx/loader, b2addb52cd3c5a77400d9174e023338e}
androidx/interpolator: {androidx/interpolator, 77ee116dbda5d427e46b7a8d165d8c62}
androidx/coordinatorlayout: {androidx/coordinatorlayout, d6158a4df5fafe9a6063970556fcbb0e}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 55dd80b10c5de3bb61ffe5f482104a8e}
androidx/slidingpanelayout: {androidx/slidingpanelayout, 6c94cdb70fd888ce1e50b47383564914}
androidx/drawerlayout: {androidx/drawerlayout, 8dc0f4ab189b966381289a4ca10f9492}
androidx/legacy/coreui: {androidx/legacy/coreui, e97521e81a9f1d37da0597160bf5ab00}
androidx/viewpager: {androidx/viewpager, f212d9ac2f2dee15228f396e6419aa6f}
com/heinrichreimersoftware/materialintro: {com/heinrichreimersoftware/materialintro, bc7fdbf9fc66a330afe6c4c6975c9fc4}
androidx/exifinterface: {androidx/exifinterface, 8c0c00e38bc3b3e57206715b6cd661f2}
androidx/arch/core: {androidx/arch/core, af5001bbe4fd72d99f6b692a104890d8}
kotlin/properties: {kotlin/properties, 3ad421098a6cd44a395a7b3d0b5f95a0}
com/canhub/cropper: {com/canhub/cropper, 50b73382a1f68d4f0909a50526030260}
androidx/legacy/content: {androidx/legacy/content, 6aaaf26997950d8416bb1ce1ae77d7aa}
com/easyfitness: {com/easyfitness, d951b2e573e2bc2f866cb3f6abea3a7b}
androidx/concurrent/futures: {androidx/concurrent/futures, 34e698bb6bc16b9a7d3febb66b08a8a4}
