a1: {a1, 5ec6b8ccfcadd4d6a97a7de889ce0c2d}
n6: {n6, cd710cb9d94d495237f8f13a90af8cdb}
w: {w, baabfdc972b6e4c8fb5f6ced01385f2b}
androidx/core/content: {androidx/core/content, 682d89c176157e176a38bf229845e14d}
x3: {x3, d69ac74c2483498b011c3c3c245d0196}
g5: {g5, 14499bd038d830bfe2c5e2f0d0e9a7af}
k4: {k4, 5d38afb4b948cccb304456f703c0f08e}
d0: {d0, 06033f77928b069b3b37a31e893c5f19}
g: {g, 2b885ab237cbed6cfc5c5f0e10063cc8}
n1: {n1, 28bf5d498706f9c5ca300ff69581338b}
com/joaomgcd/taskerpluginlibrary: {com/joaomgcd/taskerpluginlibrary, b8d137a90c6cc9f15dc1a196f5c6528b}
b1: {b1, f764bead25cafaa95b35d1b907d2f3b4}
l5: {l5, 6c68378efb3d8b051f0b5cd8c8f2dd49}
i0: {i0, 5769f1048345b7130addea7433252ebc}
androidx/appcompat/app: {androidx/appcompat/app, 3f3ab22244848a0c2a85497200846a4a}
s0: {s0, e40d84e4e98b67d54bd89fcbbc843c04}
u4: {u4, b75a9a5f70a2baf77fb967d451191962}
r2: {r2, 4f511e133173c9bd715b3770c815473b}
e1: {e1, 35a11858fcedecbc6472672aa773d34a}
retrofit2: {retrofit2, 50fbc22e5328b114ca8e35a9a99813a3}
y2: {y2, fb295131b2a64f7db681dba4c311d36c}
a0: {a0, ac55c952a1847b608c6f486750e53a94}
w6: {w6, 4f6ac2c523c96026e97fc28080f14901}
h: {h, 0883d37204692b6904f21c188d60eb47}
s3: {s3, 4d9eb7ec360c032d8ad863041af9028e}
x4: {x4, acf7ef943fdeb3cbfed8dd0d8f584731}
p0: {p0, 039edb8503ded3e0fffdedcd5303d9bc}
p: {p, 8a17045597fcd8802fe7df779e2c68d1}
androidx/emoji2/text: {androidx/emoji2/text, 0914a6d74a1bad2a0e832dd706580473}
z0: {z0, 494b80da844bb560d439c0268fec952d}
kotlin: {kotlin, 65ae43488ffafbfdaa6360837c33bd97}
h0: {h0, 26c93f9c22a6ab890a863cd9e498e51f}
i6: {i6, a3eb9aedb03df6e1830697cb9a993703}
g4: {g4, 3c75fadbfebb61571eb6900de61fe991}
androidx/coordinatorlayout/widget: {androidx/coordinatorlayout/widget, 0f5e642d219e71d17aec312a1be9ddf6}
s5: {s5, 88f1b36711cf7b69f3d25d8c578508d8}
u6: {u6, 2e254cc78d7abf62b9b9377d03b44fbe}
m0: {m0, 5a4c5c5306f22550c8fe626d364a6855}
